Norma	Data da publicação	Norma-URL	Ementa	Arquivo-URL	tag
IS 00-001B	2018-03-14	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-001	Sistema de Dificuldades em Serviço.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-001/@@display-file/arquivo_norma/IS00-001B.pdf	
IS 00-002G	2021-07-27	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-002	Padrões para a realização de exames de proficiência de pilotos.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-002/@@display-file/arquivo_norma/IS00-002G.pdf	
IS 00-004H	2021-03-10	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-004	Diretrizes Interpretativas aplicáveis às normas de âmbito da Superintendência de Padrões Operacionais.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-004/@@display-file/arquivo_norma/IS00-004H.pdf	
IS 00-006C	2020-05-01	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-006	Procedimentos para interposição de recurso sobre indeferimento de solicitação de licença, certificado ou habilitação emitidos sob o RBAC nº 61, RBHA 63 ou RBHA 65.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-006/@@display-file/arquivo_norma/IS00-006C.pdf	
IS 00-007A	2017-12-16	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-007	Avaliação Operacional de Aeronaves.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-007/@@display-file/arquivo_norma/IS00-007A.pdf	
IS 00-008D	2021-06-26	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-008	Orientações e procedimentos para solicitação de licenças e habilitações e para a interação com a ANAC.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-008/@@display-file/arquivo_norma/IS00-008D.pdf	
IS 00-009C	2021-07-03	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-009	Procedimentos para realização de inspeção de rampa em operadores aéreos no território brasileiro.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-009/@@display-file/arquivo_norma/IS00-009C.pdf	
IS 00-010A	2020-06-13	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-010	Treinamento de Gerenciamento de Recursos de Equipes (Corporate Resource Management - CRM).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-010/@@display-file/arquivo_norma/IS00-010A.pdf	
IS 00-011A	2020-11-07	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-011	Diretrizes Interpretativas aplicáveis às normas de âmbito da Superintendência de Pessoal da Aviação Civil.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-011/@@display-file/arquivo_norma/IS00-011A.pdf	
IS 20-003B	2021-10-09	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-20-003	Extintores de incêndio portáteis.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-20-003/@@display-file/arquivo_norma/IS20-003B.pdf	
IS 21-001A	2021-11-13	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-001	Orientações sobre certificação de tipo.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-001/@@display-file/arquivo_norma/IS 21-001A - Retificado.pdf	
IS 21-004E	2021-01-30	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-004	Aprovação de Grandes Modificações e Grandes Alterações em aeronaves com marcas brasileiras, ou que venham a ter marcas brasileiras.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-004/@@display-file/arquivo_norma/IS21-004E.pdf	
IS 21-005A	2020-10-20	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-005	Informações sobre aprovação de artigos aeronáuticos para aplicação em aeronaves, motores e hélices	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-005/@@display-file/arquivo_norma/IS21-005A.pdf	
IS 21-006C	2020-08-08	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-006-1	Produção sob o RBAC 21 subpartes F, G, K e O.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-006-1/@@display-file/arquivo_norma/IS21-006C.pdf	
IS 21-008B	2019-04-13	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-008	Aprovação de aeronavegabilidade para exportação.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-008/@@display-file/arquivo_norma/IS21-008B.pdf	
