ID;​​Manufacturer;​Model;​Type Designator;​Description;​Engine Type;​Engine Count;​​WTC
0;328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
1;3XTRIM;450 Ultra;UL45;LandPlane;Piston;1;L
2;3XTRIM;Ultra;UL45;LandPlane;Piston;1;L
3;3XTRIM;550 Trener;TR55;LandPlane;Piston;1;L
4;3XTRIM;Trener;TR55;LandPlane;Piston;1;L
5;3XTRIM;3X-47 Ultra;UL45;LandPlane;Piston;1;L
6;3XTRIM;3X-55 Trener;TR55;LandPlane;Piston;1;L
7;3XTRIM;3X-LS Navigator 600;TR55;LandPlane;Piston;1;L
8;3XTRIM;Navigator 600;TR55;LandPlane;Piston;1;L
9;A-41;VNS-41;CE22;Amphibian;Piston;2;L
10;A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
11;AAC;SeaStar;PETR;Amphibian;Piston;1;L
12;AAK;Bushman;BMAN;LandPlane;Piston;1;L
13;AAK;Hornet;HRNT;LandPlane;Piston;1;L
14;AAK;Wasp;WSP;LandPlane;Piston;1;L
15;AAMSA;A-9 Quail;A9;LandPlane;Piston;1;L
16;AAMSA;Quail;A9;LandPlane;Piston;1;L
17;AASI;Jetcruzer;JCRU;LandPlane;Turboprop/Turboshaft;1;L
18;ABHCO;Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
19;ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
20;ABS;RF-9;RF9;LandPlane;Piston;1;L
21;ABS AEROLIGHT;Xenon;XNON;Gyrocopter;Piston;1;L
22;ACBA;ACBA-8 Midour 2;MIDR;LandPlane;Piston;1;L
23;ACBA;Midour 2;MIDR;LandPlane;Piston;1;L
24;ACE;Junior Ace;JACE;LandPlane;Piston;1;L
25;ACE;Super Ace;SACE;LandPlane;Piston;1;L
26;ACEAIR;A-200 Aeriks 200;ARKS;LandPlane;Piston;1;L
27;ACEAIR;A-200 Aeris 200;ARKS;LandPlane;Piston;1;L
28;ACEAIR;Aeriks 200;ARKS;LandPlane;Piston;1;L
29;ACEAIR;Aeris 200;ARKS;LandPlane;Piston;1;L
30;ACES HIGH;Cuby 2;CUB2;LandPlane;Piston;1;L
31;ACRO SPORT;Acro-Sport 1;ACRO;LandPlane;Piston;1;L
32;ACRO SPORT;Acro-Sport 2;ACR2;LandPlane;Piston;1;L
