codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
87125;PSAEX;***;AVIÃO;EMBRAER;ERJ 190-400;E295;NULL;***;61200;61200;0;2024;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;ORLANDO BEZERRA DE MENEZES;DESCIDA;REGULAR;NENHUM;0
87124;PRYXD;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;***;***;23000;23000;NULL;2024;BRASIL;BRASIL;AVIÃO;***;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;TANCREDO NEVES;SUBIDA;REGULAR;NENHUM;0
87123;PRXBT;***;***;AIRBUS S.A.S.;A320-271N;A20N;NULL;BIMOTOR;79000;79000;NULL;NULL;BRASIL;BRASIL;***;***;GOVERNADOR ANDRÉ FRANCO MONTORO;PINTO MARTINS;DECOLAGEM;REGULAR;NENHUM;0
87122;PRAKJ;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;BIMOTOR;22000;22000;0;2016;BRASIL;BRASIL;AVIÃO;***;SANTA MARIA;VIRACOPOS;DECOLAGEM;REGULAR;NENHUM;0
87121;PRMHK;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2007;BRASIL;BRASIL;AVIÃO;***;PROFESSOR ERIBERTO MANOEL REINO;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
87118;PRTQC;***;AVIÃO;AIRBUS S.A.S.;A320-214;A320;NULL;BIMOTOR;78000;78000;0;2011;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;PRESIDENTE CASTRO PINTO;DECOLAGEM;REGULAR;LEVE;0
87117;PRGTE;***;AVIÃO;BOEING;737-8EH;B738;JATO;BIMOTOR;79000;79000;194;2006;BRASIL;BRASIL;AVIÃO;***;PINTO MARTINS;GOVERNADOR ANDRÉ FRANCO MONTORO;SUBIDA;REGULAR;NENHUM;0
87116;PRMYJ;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2010;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;PROFESSOR ERIBERTO MANOEL REINO;CRUZEIRO;REGULAR;NENHUM;0
87115;PRVBG;***;AVIÃO;BOEING;737-8EH;B738;JATO;BIMOTOR;79000;79000;197;2008;BRASIL;BRASIL;AVIÃO;***;ZUMBI DOS PALMARES;DEPUTADO LUÍS EDUARDO MAGALHÃES;DECOLAGEM;REGULAR;LEVE;0
87114;N989AR;***;***;GULFSTREAM;GVII-G600;;NULL;BIMOTOR;0;0;NULL;NULL;BRASIL;BRASIL;***;***;SANTA GENOVEVA/GOIÂNIA;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;PRIVADA;NENHUM;0
87113;PTKFW;***;AVIÃO;CESSNA AIRCRAFT;170B;C170;PISTÃO;MONOMOTOR;998;998;1;1953;BRASIL;BRASIL;AVIÃO;***;JACAREPAGUÁ;JACAREPAGUÁ;POUSO;ESPECIALIZADA;NENHUM;0
87112;PSCNC;***;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;MONOMOTOR;4110;4110;11;0;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;JACAREPAGUÁ;CRUZEIRO;TÁXI AÉREO;NENHUM;0
87111;PRVJM;***;AVIÃO;CESSNA AIRCRAFT;210N;C210;PISTÃO;MONOMOTOR;1724;1724;6;1981;BRASIL;BRASIL;AVIÃO;***;CARAJÁS;AERÓDROMO NÃO CADASTRADO;POUSO;TÁXI AÉREO;SUBSTANCIAL;0
87110;PTWOS;***;AVIÃO;CESSNA AIRCRAFT;208;C208;TURBOÉLICE;MONOMOTOR;3629;3629;11;1990;BRASIL;BRASIL;AVIÃO;***;VAL DE CANS / JÚLIO CEZAR RIBEIRO;MARECHAL CUNHA MACHADO;TÁXI;TÁXI AÉREO;LEVE;0
87109;PSGNI;***;AVIÃO;HAWKER BEECHCRAFT;C90GTI;BE9L;;BIMOTOR;4581;4581;0;0;BRASIL;BRASIL;AVIÃO;***;Comandante Rolim Adolfo Amaro;VILHENA;DESCIDA;PRIVADA;LEVE;0
87108;PRTYT;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;78000;78000;0;2015;BRASIL;BRASIL;AVIÃO;***;VAL DE CANS / JÚLIO CEZAR RIBEIRO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
