codigo_ocorrencia1;ocorrencia_tipo;ocorrencia_tipo_categoria;taxonomia_tipo_icao
87125;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87124;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87123;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87122;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
87121;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87118;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87117;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
87116;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87115;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87114;OUTROS;OUTROS;OTHR
87113;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87112;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87111;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
87111;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
87110;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87109;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
87108;CONTATO ANORMAL COM A PISTAA;CONTATO ANORMAL COM A PISTA |;ARC
87107;CONTATO ANORMAL COM A PISTAA;CONTATO ANORMAL COM A PISTA |;ARC
87106;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87105;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87104;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87103;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
87102;INDETERMINADO;INDETERMINADO;UNK
87100;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87099;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87098;INDETERMINADO;INDETERMINADO;UNK
87097;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87096;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87095;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87093;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87092;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87091;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87090;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87089;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87088;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87087;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87086;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87085;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
87084;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
87082;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
87082;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
87081;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87080;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87079;INDETERMINADO;INDETERMINADO;UNK
87078;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87077;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87076;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87075;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87073;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87072;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
87071;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87069;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87067;TURBULÊNCIA;TURBULÊNCIA;TURB
87066;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87065;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87064;OUTROS;OUTROS;OTHR
87063;OUTROS;OUTROS;OTHR
87062;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
87061;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
87060;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
87060;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87059;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
87058;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
87057;OPERAÇÃO A BAIXA ALTITUDE;OPERAÇÃO A BAIXA ALTITUDE;LALT
87057;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
87056;COLISÃO NO SOLO;COLISÃO NO SOLO;GCOL
87054;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87053;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
87052;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87051;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87050;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
87049;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
87048;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87047;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87046;CORTANTE DE VENTO / TEMPESTADE;CORTANTE DE VENTO / TEMPESTADE;WSTRW
87045;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
87043;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
87042;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
