codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
83193;A-014/CENIPA/2024 - 01;2025-02-17;2025-02-19;NULL;Divulgar os ensinamentos colhidos na presente investigação ao administrador do Aeródromo Severino Farias (SJH2), a fim de assegurar a adequação das suas condições de segurança operacional, notadamente em relação à pista de pouso.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
83193;A-014/CENIPA/2024 - 02;2025-02-17;2025-02-19;2025-03-07;Divulgar os ensinamentos colhidos na presente investigação, com o propósito de alertar osGestores Responsáveis pelos Centros de Instrução de Aviação Civil (CIAC), envolvidos com cursos práticos de pilotagem e que operam sob as regras do RBAC 141, sobre a importância do Gerenciamento de Risco associado à operação rotineira de suas aeronaves, com o foco nas avaliações das condições meteorológicas presentes nos voos de instrução, bem como nos aeródromos com potencial de uso para a realização de pousos de precaução ou de emergência.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
82458;A-146/CENIPA/2023 - 01;2025-03-13;2025-03-06;NULL;Divulgar os ensinamentos colhidos na presente investigação, no âmbito dos operadores doRBAC 137, com o propósito de alertar os pilotos sobre a realização das operações aeroagrícolas condicionadas ao planejamento de voo envolvendo os aspectos que levem ao ofuscamento em decorrência dos raios solares, de modo a evitar colisão com obstáculos.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
82458;A-146/CENIPA/2023 - 02;2025-03-13;2025-03-13;NULL;Avaliar a pertinência de revisar os requisitos estabelecidos na seção 137.209 do RBAC 137,relacionados a equipamentos de segurança de voo para tripulantes, incluindo no rol de itensobrigatórios (macacão e luva de voo com tecido antichama, bem como calçado com material que não se deforme rapidamente com a elevação da temperatura), a fim de proteger os tripulantes por um tempo maior em caso de fogo, possibilitando o abandono da aeronave de modo seguro.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81937;A-121/CENIPA/2023 - 01;2024-12-19;2024-12-23;NULL;Atuar junto à EFAI - Escola de Aviação Civil LTDA. - EPP, a fim de que aquele CIAC aprimore seus mecanismos de acompanhamento e supervisão da parte prática da instrução aérea, em especial na padronização de instrutores de voo.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81732;A-106/CENIPA/2023 - 01;2025-02-17;2025-02-17;2025-03-07;Divulgar os ensinamentos colhidos na presente investigação aos operadores das aeronaves experimentais, realçando a importância de se prover a adequada manutenção de suas aeronaves.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81705;A-099/CENIPA/2023 - 01;2024-09-16;2024-09-16;NULL;Divulgar os ensinamentos colhidos na presente investigação durante os eventos e ações de promoção da segurança operacional, com o propósito de alertar os operadores, pilotos e mantenedores das aeronaves que operam sob as regras do RBAC 91, sobre a necessidade da fiel observância da IS 91.409-01, em sua última revisão, com foco na adoção de um programa de monitoramento de tendência que promova a adequada avaliação das condições gerais do motor e de seus acessórios, para efeito da extensão dosrespectivos TBO.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81691;A-097/CENIPA/2023 - 01;2024-05-16;2024-05-16;2024-09-10;Atuar junto aos fabricantes NEIVA/EMBRAER e PIPER, no sentido de buscar soluções de forma a excluir as possibilidades de contato entre o parafuso tipo clevis fixador do anti-shimmy e o tubo atuador traseiro da porta do trem de pouso de nariz, garantindo que não haja bloqueio do movimento da perna do trem de pouso auxiliar em razão de roçamento entre os componentes, durante os ciclos de abaixamento e recolhimento do trem de pouso.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81366;A-041/CENIPA/2023 - 01;2024-07-30;2024-07-31;2024-08-01;Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores da aviação agrícola sobre os riscos decorrentes da operação sob condições de voo por instrumentos por pessoal não habilitado e capacitado, empregando uma aeronave também não certificada para voo sob Regras de Voo por Instrumentos.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81347;A-037/CENIPA/2023 - 01;2024-12-19;2024-12-23;NULL;Atuar junto à OM Oficina de Manutenção de Aeronaves LTDA, visando assegurar que sejaadotado um mecanismo efetivo para verificação da conformidade das atividades de manutenção executadas pela empresa, notadamente no que se refere aos trabalhos realizados pelos mecânicos e pelos inspetores nas ordens de serviços realizados.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
