Tipo normativo	Norma	Publicação	Ementa	Data	Em vigor	Revogada	Tornada sem efeito	Alterada	Outros	Anexos
Decisão	DECISÃO Nº 001, 11/01/2017	DOU 13/01/2017, Seção 1, Pág.50	Autoriza a operação de sociedade empresária de táxi aéreo e de serviço aéreo público especializado - DS Air Táxi Aéreo Ltda.	2017-01-11						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-001-11-01-2017@@download/arquivo_norma/DA2017-0001.pdf
Decisão	DECISÃO Nº 002, 11/01/2017	DOU 13/01/2017, Seção 1, Pág.50	Defere pedido de isenção de cumprimento do requisito de que trata o parágrafo 142.25(e) do RBAC nº 142.	2017-01-11						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-002-11-01-2017@@download/arquivo_norma/DA2017-0002.pdf
Decisão	DECISÃO Nº 003, 11/01/2017	DOU 13/01/2017, Seção 1, Pág.50	Renova a autorização operacional de sociedade empresária de serviço aéreo público especializado - Agrisul Aviação Agrícola Ltda. - ME.	2017-01-11						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-003-11-01-2017@@download/arquivo_norma/DA2017-0003.pdf
Decisão	DECISÃO Nº 004, 11/01/2017	DOU 13/01/2017, Seção 1, Pág.50	Autoriza a operação de sociedade empresária de táxi aéreo - Rio Purus Táxi Aéreo Ltda. - EPP.	2017-01-11						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-004-11-01-2017@@download/arquivo_norma/DA2017-0004.pdf
Decisão	DECISÃO Nº 005, 11/01/2017	DOU 13/01/2017, Seção 1, Pág.50	Autoriza a operação de sociedade empresária de serviço aéreo público especializado - Transpreser Serviço Aéreo Especializado Ltda.	2017-01-11						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-005-11-01-2017@@download/arquivo_norma/DA2017-0005.pdf
Decisão	DECISÃO Nº 007, 18/01/2017	DOU 19/01/2017, Seção 1, Pág.57	Altera o Edital do Leilão nº 01/2016.	2017-01-18						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-007-18-01-2017@@download/arquivo_norma/DA2017-0007..pdf
Decisão	DECISÃO Nº 008, 19/01/2017	DOU 20/01/2017, Seção 1, Pág.36	Renova a autorização operacional de sociedade empresária de serviço aéreo público especializado e autoriza atividade de serviço aéreo público especializado - Centroar Agro-Aéreo Ltda. - EPP.	2017-01-19						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-008-19-01-2017@@download/arquivo_norma/DA2017-0008.pdf
Decisão	DECISÃO Nº 009, 19/01/2017	DOU 20/01/2017, Seção 1, Pág.36	Renova a autorização operacional de sociedade empresária de serviço aéreo público especializado - Asas do Cerrado Aviação Agrícola Ltda. - EPP.	2017-01-19						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-009-19-01-2017@@download/arquivo_norma/DA2017-0009.pdf
Decisão	DECISÃO Nº 014, 26/01/2017	DOU 01/01/2017, Seção 1, Pág.105	Autoriza a operação de sociedade empresária de serviço aéreo público especializado - Aero Agrícola Gerais Ltda. - ME.	2017-01-26						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-014-26-01-2017@@download/arquivo_norma/DA2017-0014.pdf
Resolução	DECISÃO Nº 016, 26/01/2017	DOU 01/01/2017, Seção 1, Pág.105	Autoriza a operação de sociedade empresária de serviço aéreo público especializado - Villela Agro Aerea Ltda.	2017-01-26						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-016-26-01-2017@@download/arquivo_norma/DA2017-0016.pdf
Decisão	DECISÃO Nº 018, 26/01/2017	DOU 01/02/2017, Seção 1, Pág.105	Autoriza a operação de sociedade empresária de serviço aéreo público especializado - Sertec Engenharia e Aerolevantamentos Ltda. - EPP.	2017-01-26						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-018-26-01-2017@@download/arquivo_norma/DA2017-0018 - Retificada.pdf
Decisão	DECISÃO Nº 017, 26/01/2017	DOU 01/01/2017, Seção 1, Pág.105	Defere parcialmente pedido de isenção de cumprimento do requisito de que trata o parágrafo 61.10(c)(2) do RBAC nº 61.	2017-01-26						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-017-26-01-2017@@download/arquivo_norma/DA2017-0017.pdf
Decisão	DECISÃO Nº 029, 07/02/2017	DOU 09/02/2017, Seção 1, Págs.96 e 97	Defere pedido de isenção temporária de cumprimento do requisito de que trata o parágrafo 154.207(d)(1) do RBAC nº 154 no Aeroporto Internacional Salgado Filho/Porto Alegre - SBPA.	2017-02-07						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-029-07-02-2017@@download/arquivo_norma/DA2017-029.pdf
Decisão	DECISÃO Nº 023, 07/02/2017	DOU 09/02/2017, Seção 1, Pág.97	Renova a autorização operacional de sociedade empresária de táxi aéreo - Top Line Táxi Aéreo Ltda. - EPP.	2017-02-07						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-023-07-02-2017@@download/arquivo_norma/DA2017-023.pdf
Decisão	DECISÃO Nº 022, 07/02/2017	DOU 09/01/2017, Seção 1, Pág.97	Renova a autorização operacional de sociedade empresária de serviço aéreo público especializado - Engemap Engenharia, Mapeamento e Aerolevantamento Ltda.	2017-02-07						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-022-07-02-2017@@download/arquivo_norma/DA2017-0022.pdf
Decisão	DECISÃO Nº 025, 07/02/2017	DOU 09/02/2017, Seção 1, Pág.97	Renova a autorização operacional de sociedade empresária de serviço aéreo público especializado - Pulvesul Aviação Agrícola Ltda. - ME.	2017-02-07						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-025-07-02-2017@@download/arquivo_norma/DA2017-025.pdf
Decisão	DECISÃO Nº 026, 07/02/2017	DOU 09/02/2017, Seção 1, Pág.97	Autoriza a operação de sociedade empresária de serviço aéreo público especializado - Foliar Aviação Agrícola Ltda. - EPP.	2017-02-07						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-026-07-02-2017@@download/arquivo_norma/DA2017-026.pdf
Decisão	DECISÃO Nº 027, 07/02/2017	DOU 09/02/2017, Seção 1, Pág.97	Autoriza a operação de sociedade empresária de serviço aéreo público especializado - Celeste Aero Agrícola Ltda. - EPP.	2017-02-07						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-027-07-02-2017@@download/arquivo_norma/DA2017-027.pdf
Decisão	DECISÃO Nº 028, 07/02/2017	DOU 09/02/2017, Seção 1, Pág.97	Autoriza a operação de sociedade empresária de serviço aéreo público especializado - Helic Air Táxi Aéreo e Serviços Aéreos Especializados Ltda.	2017-02-07						https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2017/decisao-no-028-07-02-2017@@download/arquivo_norma/DA2017-028.pdf
