"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Decreto"	"Decreto nº 89.121 de 06/12/1983"	"DOU 06/12/1983"	"Regula a Lei Nº 6.009, de 26/12/1973."	"1983-12-06"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-89-121-de-06-12-1983@@download/arquivo_norma/decreto89121.pdf"
"Decreto"	"Decreto nº 73.070 de 01/11/1973"	"DOU Nº S/1, p.11221, 05/11/1973"	"Aprova o Regulamento do "Fundo Aeronáutico" e dá outras providências."	"1973-11-01"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-73-070-de-01-11-1973@@download/arquivo_norma/decreto73070.pdf"
"Decreto"	"Decreto nº 65.144 de 12/09/1969"	"DOU Nº S/1, p.7773, 15/09/1969"	"Institui o Sistema de Aviação Civil do Ministério da Aeronáutica e dá outras providências."	"1969-09-12"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-65-144-de-12-09-1969@@download/arquivo_norma/decreto65144.pdf"
"Decreto"	"Decreto nº 7.205 de 10/06/2010"	"DOU Nº 110, S/1. p.1-2, 11/06/2010"	"Dispõe sobre o modelo de concessão para exploração do Aeroporto de São Gonçalo do Amarante."	"2010-06-10"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-7-205-de-10-06-2010@@download/arquivo_norma/Decreto nº 7205.mht"
"Decreto"	"Decreto nº 6.932 de 11/08/2009"	"DOU Nº 153, S/1, p.6-7, 12/08/2009"	"Dispõe sobre a simplificação do atendimento público prestado ao cidadão, ratifica a dispensa do reconhecimento de firma em documentos produzidos no Brasil, institui a "Carta de Serviços ao Cidadão" e dá outras providências."	"2009-08-11"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-6-932-de-11-08-2009@@download/arquivo_norma/DEC 6932 - 11 AGO 2009.pdf"
"Decreto"	"Decreto nº 6.055 de 06/03/2007"	"DOU Nº 45, S/1, p.1, 07/03/2007"	"Dispõe sobre a criação da Delegação Permanente do Brasil junto à Organização de Aviação Civil Internacional (OACI), e dá outras providências."	"2007-03-06"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-6-055-de-06-03-2007@@download/arquivo_norma/DEC_6055_06_MAR_2007.pdf"
"Decreto"	"Decreto nº 5.978 de 04/12/2006"	"DOU 05/12/2006, S/1, p.2"	"Dá nova redação ao Regulamento de Documentos de Viagem a que se refere o Anexo ao Decreto no 1.983, de 14 de agosto de 1996, que instituiu o Programa de Modernização, Agilização, Aprimoramento e Segurança da Fiscalização do Tráfego Internacional e do Passaporte Brasileiro - PROMASP."	"2006-12-04"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-5-978-de-04-12-2006@@download/arquivo_norma/D5978.pdf"
"Decreto"	"Decreto nº 3.720 de 08/01/2001"	"DOU Nº 6E, S/1, p.2, 09/01/2001"	"Determina a observância das Normas e Recomendações da Décima Edição do Anexo 9 à Convenção de Aviação Civil Internacional."	"2001-01-08"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-3-720-de-08-01-2001@@download/arquivo_norma/decreto3720.pdf"
"Decreto"	"Decreto nº 86.864 de 21/01/1982"	"DOU 22/01/1982"	"Regulamenta o Decreto-lei Nº 1.896."	"1982-01-21"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-86-864-de-21-01-1982@@download/arquivo_norma/decreto86864.pdf"
"Decreto"	"Decreto nº 21.713 de 27/08/1946"	"DOU Nº S/1, p.12715, 12/09/1946"	"Promulga a Convenção sobre Aviação Civil Internacional, concluída em Chicago a 7 de dezembro de 1944 e firmado pelo Brasil, em Washington, a 29 de maio de 1945."	"1946-08-27"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-21-713-de-27-08-1946@@download/arquivo_norma/convencaoChicago.pdf"
