"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Instrução Normativa"	"Instrução Normativa nº 109, 12/01/2017"	"BPS V.12, Nº 2 S1, 16/01/2017"	"Altera a Instrução Normativa nº 81, de 19 de dezembro de 2014."	"42747"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-109-12-01-2017@@download/arquivo_norma/IN2017-0109.pdf"
"Instrução Normativa"	"Instrução Normativa nº 110, 26/01/2017"	"BPS V.12, Nº 4 S1, 31/01/2017"	"Regulamenta o desenvolvimento de soluções de Tecnologia da Informação no âmbito departamental."	"42761"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-110-26-01-2017@@download/arquivo_norma/IN2017-0110.pdf"
"Instrução Normativa"	"Instrução Normativa nº 111, 27/01/2017"	"BPS V.12, Nº 4 S1, 31/01/2017"	"Estabelece procedimentos e critérios para a utilização dos serviços de telefonia e comunicação de dados."	"42762"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-111-27-01-2017@@download/arquivo_norma/IN2017-0111.pdf"
"Instrução Normativa"	"Instrução Normativa nº 113, 22/02/2017"	"BPS V.12, Nº 8, 24/02/2017"	"Dispõe sobre a concessão de diárias e passagens."	"42788"	""	""	""	"Instrução Normativa nº 162, de 6 de agosto de 2020."	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-113-22-02-2017@@download/arquivo_norma/IN2017-0113 - Compilada até a IN2020-0162.pdf"
"Instrução Normativa"	"Instrução Normativa nº 112, 22/03/2017"	"BPS V.12, Nº 13, 31/03/2017"	"Dispõe sobre o dimensionamento e a distribuição de Postos de Trabalho Terceirizados para apoio às Unidades Organizacionais da Agência Nacional de Aviação Civil - ANAC."	"42816"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-112-22-03-2017@@download/arquivo_norma/IN2017-0112.pdf"
"Instrução Normativa"	"Instrução Normativa nº 114, 09/05/2017"	"DOU 10/05/2017, Seção 1, págs.66 e 67"	"Institui a Política de Gestão de Riscos Corporativos da ANAC, o Comitê de Governança, Riscos e Controle e dá outras providências."	"42803"	""	""	""	"Instruções Normativas nºs 144, de 16.09.2019, e 163, de 20.08.2020."	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-114-09-05-2017@@download/arquivo_norma/IN2017-0114 - Compilada até IN2020-0163.pdf"
"Instrução Normativa"	"Instrução Normativa nº 115, 14/08/2017"	"BPS V.12, Nº 33, 18/08/2017"	"Institui a Política de Governança de Informações Digitais - PGID da ANAC."	"42961"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-115-14-08-2017@@download/arquivo_norma/IN2017-0115 - Retificada.pdf"
"Instrução Normativa"	"Instrução Normativa nº 116, 06/09/2017"	"BPS V.12, Nº 36, 08/09/2017"	"Altera dispositivos da Instrução Normativa nº 79, de 15 de julho de 2014."	"42984"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-116-06-09-2017@@download/arquivo_norma/IN2017-116.pdf"
"Instrução Normativa"	"Instrução Normativa nº 117, 06/09/2017"	"BPS V.12, Nº 36, 08/09/2017"	"Estabelece os critérios e procedimentos para a nomeação e exoneração de cargos comissionados, códigos CGE, CA, CAS e CCT, e designação e dispensa de substitutos no âmbito da Agência Nacional de Aviação Civil - ANAC."	"42984"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-117-06-09-2017@@download/arquivo_norma/IN2017-117.pdf"
"Instrução Normativa"	"Instrução Normativa nº 118, 20/09/2017"	"BPS V.12, Nº 38 S1, 25/09/2017"	"Institui o procedimento para o processo decisório de segunda instância administrativa no âmbito da ANAC."	"42998"	""	"Instrução Normativa nº 135, de 28 de fevereiro de 2019."	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-118-20-09-2017@@download/arquivo_norma/IN2017-0118.pdf"
"Instrução Normativa"	"Instrução Normativa nº 119, 20/12/2017"	"BPS V.12, Nº 51, 22/12/2017"	"Altera a Instrução Normativa nº 33, de 12 de janeiro de 2010."	"43089"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2017/instrucao-normativa-no-119-20-12-2017@@download/arquivo_norma/IN2017-0119.pdf"
"Instrução Normativa"	"Instrução Normativa nº 120, 22/02/2018"	"BPS V.13, Nº 9, 02/03/2018"	"Institui a Política de Governança de Tecnologia da Informação e Comunicação - PGTIC da ANAC."	"43153"	""	""	""	"Instrução Normativa nº 149, de 16 de setembro de 2019."	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-120-22-02-2018@@download/arquivo_norma/IN2018-0120 - Compilado até IN2019-0149.pdf"
"Instrução Normativa"	"Instrução Normativa nº 121, 04/05/2018"	"BPS V.13, Nº 18, 09/05/2018"	"Institui o Sistema de Atendimento da ANAC com a finalidade de ordenar o processo de atendimento de manifestações e garantir a participação, proteção e defesa do usuário dos serviços prestados pela ANAC."	"43224"	"Em vigor em 6 de setembro de 2018."	""	""	"Instrução Normativa nºs 134, de 28.02.2019, e 160, de 23.07.2020."	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-121-04-05-2018@@download/arquivo_norma/IN2018-0121.pdf"
