"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Lei"	"Lei nº 12.648 de 17/05/2012"	"DOU Nº 96, Seção 1, p.1, de 18/05/2012"	"Altera dispositivos das Leis nos 7.920, de 12 de dezembro de 1989, 8.399, de 7 de janeiro de 1992, 9.825, de 23 de agosto de 1999, 12.462, de 5 de agosto de 2011, 6.009, de 26 de dezembro de 1973, e 5.862, de 12 de dezembro de 1972; revoga o Decreto-Lei Nº 1.896, de 17 de dezembro de 1981; e dá outras providências."	"17/05/2012"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-12-648-de-05-17-2012@@download/arquivo_norma/Lei12648.pdf"
"Lei"	"Lei nº 12.462 de 05/08/2011"	"DOU Nº 150-A, Seção 1 - Edição Extra, p.1, de 05/08/2011"	"Conversão da MP Nº 527, de 18 de maio de 2011, que alterou a Lei Nº 11.182/05, e deu outras providências."	"05/08/2011"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-12-462-de-05-08-2011@@download/arquivo_norma/L12462.htm"
"Lei"	"Lei nº 11.314 de 03/07/2006"	"DOU Nº 04/07/2006"	"Altera a lei Nº 8.112 , de 11 de dezembro de 1990, que dispõe sobre o regime jurídico dos servidores públicos civis da união, das autarquias e das fundações públicas federais, a lei Nº 10.233 , de 5 de junho de 2001, que dispõe sobre a reestruturação dos transportes aquaviário e terrestre, cria o conselho nacional de integração de políticas de transporte, a agência nacional de transportes terrestres, a agência nacional de transportes aquaviários e o departamento nacional de infra-estrutura de transportes, a lei Nº 10.683 , de 28 de maio de 2003, que dispõe sobre a organização da presidência da república e dos ministérios, a lei Nº 11.171 , de 2 de setembro de 2005, que dispõe sobre a criação de carreiras e do plano especial de cargos do departamento nacional de infra-estrutura de transportes - dnit, a lei Nº 11.233 , de 22 de dezembro de 2005, que institui o plano especial de cargos da cultura e a gratificação específica de atividade cultural - geac, cria a extingue cargos em comissão no âmbito do poder executivo, dispõe sobre servidores da extinta legião brasileira de assistência, sobre a cessão de servidores para o dnit e sobre controvérsia concernente à remuneração de servidores do departamento nacional de obras contra as secas - dnocs, a lei Nº 9.636 , de 15 de maio de 1998, que dispõe sobre a regularização, administração, aforamento e alienação de bens imóveis de domínio da união, o decreto-lei Nº 9.760 , de 5 de setembro de 1946, que dispõe sobre os bens imóveis da união, a lei Nº 11.182 , de 27 de setebro de 2005, a lei Nº 11.046 , de 27 de dezembro de 2004; a lei Nº 5.917 , de 10 de setembro de 1973, e a lei Nº 8.630 , de 25 de fevereiro de 1993; revoga dispositivos da medida provisória Nº 2.228-1 , de 6 de setembro de 2001, da lei Nº 10.871 , de 20 de maio de 2004, e da medida provisória Nº 280 , de 15 de fevereiro de 2006, e autoriza prorrogação de contratos temporários em atividades que serão assumidas pela agência nacional de aviação civil - anac."	"03/07/2006"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-11-314-de-03-07-2006@@download/arquivo_norma/lei11314.pdf"
"Lei"	"Lei nº 11.204 de 05/12/2005"	"DOU Nº 06/12/2005"	"Altera a lei Nº 10.683, de 28 de maio de 2003, que dispõe sobre a organização da presidência da república e dos ministérios; autoriza a prorrogação de contratos temporários firmados com fundamento no art. 23 d lei Nº 10.667."	"05/12/2005"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-11-204-de-05-12-2005@@download/arquivo_norma/lei11204.pdf"
"Lei"	"Lei nº 10.744 de 09/10/2003"	"DOU 10/10/2003"	"Dispõe sobre a assunção, pela União, de responsabilidades civis perante terceiros no caso de atentados terroristas, atos de guerra ou eventos correlatos, contra aeronaves de matrícula brasileira operadas por empresas brasileiras de transporte aéreo público, excluídas as empresas de táxi aéreo."	"09/10/2003"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-10-744-de-09-10-2003@@download/arquivo_norma/Lei10744.pdf"
"Lei"	"Lei nº 12.920 de 24/12/2013"	"DOU Nº 250-A, Seção 1 (Edição Extra), p.27, de 26/12/2013"	"Dá a denominação de Aeroporto Internacional do Rio Grande do Norte/São Gonçalo do Amarante - Governador Aluizio Alves ao Aeroporto São Gonçalo do Amarante, no Estado do Rio Grande do Norte."	"24/12/2013"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-12-920-de-24-12-2013@@download/arquivo_norma/L12920.htm"
"Lei"	"Lei nº 11.292 de 26/04/2006"	"DOU Nº 27/04/2006"	"Altera as leis Nºs 9.986, de 18 de julho de 2000, que dispõe sobre a gestão de recursos humanos das agências reguladoras; 10.768, de 19 de novembro de 2003, que dispõe sobre o quadro de pessoal da agência nacional de águas - Ana."	"26/04/2006"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-11-292-de-26-04-2006@@download/arquivo_norma/lei11292.pdf"
"Lei"	"Lei nº 10.871 de 20/05/2004"	"DOU 21/05/2004"	"Dispõe sobre a criação de carreiras e organização de cargos efetivos das autarquias especiais denominadas agências reguladoras, e dá outras providências."	"20/05/2004"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-10-871-de-20-05-2004@@download/arquivo_norma/Lei10871.pdf"
"Lei"	"Lei nº 10.683 de 28/05/2003"	"DOU 29/05/2003, Seção 1, p.2-9."	"Dispõe sobre a organização da Presidência da República e dos Ministérios, e dá outras providências."	"28/05/2003"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-10-683-de-28-05-2003@@download/arquivo_norma/L10683compilado.pdf"
"Lei"	"Lei nº 8.399 de 07/01/1992"	"DOU 08/01/1992"	"Especifica a destinação dos recursos originados pelo Adicional de Tarifa Aeroportuária - ATAERO."	"07/01/1992"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-8-399-de-07-01-1992@@download/arquivo_norma/L8399.htm"
"Lei"	"Lei nº 5.332 de 11/10/1967"	"DOU S/1, p.10319, 02/10/1967"	"Dispõe sobre o arrendamento de áreas Aeroportuárias às empresas e pessoas físicas ou jurídicas ligadas às atividades aeronáuticas."	"11/10/1967"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-5-332-de-11-10-1967@@download/arquivo_norma/Lei5332.pdf"
"Lei"	"Lei N° 12.920, de 24/12/2013"	"DOU N° 250-A, Seção 1 (Edição Extra), p. 27, de 26/12/2013"	"Dá a denominação de Aeroporto Internacional do Rio Grande do Norte/São Gonçalo do Amarante - Governador Aluizio Alves ao Aeroporto São Gonçalo do Amarante, no Estado do Rio Grande do Norte. "	"21/12/2013"	""	""	""	""	""	"http://www.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-12-920-de-24-12-2013/@@display-file/arquivo_norma/L12920.htm"
"Lei"	"Lei nº 9.825 de 27/10/1999"	"DOU Nº 162, S/1, p.26,24/08/1999"	"Estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências."	"27/10/1999"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-9-825-de-27-10-1999@@download/arquivo_norma/lei9825.pdf"
