"CHE_CODI","B145_CODI","ORG_NABREV","ORG_NOME","CHE_DATA","CHE_VALID","ORG_ENDER","ORG_COMPL","ORG_CIDADE","ORG_ESTADO","ORG_CEP","ORG_FONEAREA","ORG_FONE","ORG_SITE","ORG_EMAIL","PAIS_NOME","B145_ADM","B145_TIPO","B145_STATUS","ORGP_SIGLA","ORGP_NOME","URL_CHE","URL_EO"
"0601-04/ANAC","0000000001","ABA BARREIRAS","ABA MANUTENÇÃO DE AERONAVES LTDA.","01/11/2021","","Est. Barreiras - Barrocão km 03 Lote 04","","Barreiras","BA","47800-970","77","3613-1713","","administracao@abamanutencao.com.br, aeronaves@abamanutencao.com.br, ctm@abamanutencao.com.br","Brasil","S","P","V","ABA MANUTENÇÃO","ABA MANUTENÇÃO DE AERONAVES LTDA.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0601-04_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001077.pdf"
"0511-05/ANAC","0000000002","ABELHA","ABELHA TÁXI AÉREO E MANUTENÇÃO LTDA","01/11/2021","","Av. Senador João Ponce de Arruda s/nº - Hangar Sta. Genoveva - Jardim Aeroporto","","Várzea Grande","MT","78110-970","65","3682-2389","www.voeabelha.com.br","ctm@voeabelha.com.br, eng.sandro07@gmail.com, srm@voeabelha.com.br, engenheiro_sandro@voeabelha.com.br, adm@voeabelha.com.br ","Brasil","S","P","V","ABELHA TAXI AÉREO","ABELHA TÁXI AÉREO E MANUTENÇÃO LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0511-05_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001078.pdf"
"0310-01/ANAC","0000000003","ABSA CAMPINAS","ABSA AEROLINHAS BRASILEIRAS S/A ","01/11/2021","","Rodovia Santos Dumont Km 66 acesso viário s/nº ","","Campinas","SP","13052-970","19","2138-4474","www.tamcargo.com.br, ","alexandre.santiago@latam.com, mauro.nishime@latam.com, responsaveltecnico@latam.com","Brasil","S","P","V","ABSA","ABSA -  AEROLINHAS BRASILEIRAS S/A.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0310-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001079.pdf"
"0310-01/ANAC","0000000004","ABSA GUARULHOS","ABSA AEROLINHAS BRASILEIRAS S/A ","01/11/2021","","Aeroporto Internacional de Guarulhos – S/N – Edifício TECA - 6º andar sala 621 ","","Guarulhos","SP","07141-970","11","2245-6500","www.absacargo.com.br","agregorio@absacargo.com","Brasil","N","S","S","ABSA","ABSA -  AEROLINHAS BRASILEIRAS S/A.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0310-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001080.pdf"
"0310-01/ANAC","0000000005","ABSA GALEÃO","ABSA AEROLINHAS BRASILEIRAS S/A ","01/11/2021","","Aeroporto Internacional do Rio de Janeiro Maestro Antonio Carlos Jobim  Av. 20 de Janeiro s/nº","","Rio de Janeiro","RJ","21941-570","21","3398-7110","www.absacargo.com.br","stancredo@absacargo.com","Brasil","N","S","C","ABSA","ABSA -  AEROLINHAS BRASILEIRAS S/A.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0310-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001081.pdf"
"0709-21/ANAC","0000000006","ADDEY SALVADOR","ADDEY TÁXI AÉREO LTDA","01/11/2021","","Aeroporto Int. Dep. Luis E. M. – Setor Hangares Rua “A” Lote 10 São Cristovão","","Salvador","BA","41510-250","71","3251-3965/2451","www.addey.com.br","diretordemanutencao@addey.com.br","Brasil","S","P","S","ADDEY","ADDEY TÁXI AÉREO LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0709-21_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001082.pdf"
"0001-03/ANAC","0000000007","ADVANCED SOROCABA","ADVANCED SUPORTE AERONÁUTICO LTDA","01/11/2021","","AVENIDA SANTOS DUMONT 1001 BOX 20","","SOROCABA","SP","18605-290","15","3223-1500","","valter.galvao@conal.com.br","Brasil","S","P","C","ADVANCED","ADVANCED SUPORTE AERONÁUTICO LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0001-03_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001083.pdf"
"","0000000008","CAIÇARA SEDE ADM.","AERO AGRÍCOLA CAIÇARA LTDA","","","RUA BITTENCOURT 166/168","","SANTOS","SP","11013-300","13","3222-3776","www.aeroagricolacaicara.com.br","silvia@aerocaicara.com.br","Brasil","S","S","C","CAIÇARA","AERO AGRÍCOLA CAIÇARA LTDA"," "," "
"0504-01/ANAC","0000000009","AERO AVIONICS SOROCABA","AERO AVIONICS ML EIRELI","01/11/2021","","Avenida Angélica nº 145","Hangar 6","SOROCABA","SP","18.065-450","15","3223-5063","www.aeroavionicsml.com.br","diretoria@aeroavionicsml.com.br","Brasil","S","P","V","AERO AVIONICS","AERO AVIONICS ML EIRELI","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0504-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001085.pdf"
"9805-01/ANAC","0000000010","AERO BSB","AERO BASE - MANUTENÇÃO DE AERONAVES","01/11/2021","","Aeroporto Internacional de Brasília - Setor de Hangares - Hangar N.º 19/20","","Brasília","DF","71609-900","61","3364-9343/3365-1617","","aerobasemanut@yahoo.com.br","Brasil","S","P","S","AERO BASE","AERO BASE - MANUTENÇÃO DE AERONAVES","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-9805-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001086.pdf"
