ementa,norma,tornada_sem_efeito,alterada,data,outros,tipo_normatico,publicacao,revogada,em_vigor,anexos,tags
Aprova a revisão do Programa de Governança em Privacidade - PGP da ANAC,"PORTARIA Nº 19806, 14/08/2026",,,2028-08-14,,Portaria,"BPS V.21, Nº 33, 18/08/2026",,, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2026/portaria-19806/@@display-file/anexo_norma/Anexo.pdf,"['aprovação', 'portaria']"
"Procedimentos aceitáveis para determinação do nível adequado de serviço de prevenção, salvamento e combate a incêndio em aeródromos civis",IS 91-017A,,,2027-07-13,,IS,16/07/2026,,,,['']
Inscreve no cadastro o heliponto de uso privativo a bordo da unidade PETROBRAS 66 (9PRB),"PORTARIA Nº18380/SIA, 08/12/2025",,,2026-12-08,,Portaria,"DOU 11/12/2025, Seção 1, pág. 84",,,,['portaria']
Inscreve o Heliponto de uso privativo ao nível do solo CIAD GO0405 no cadastro de aeródromos,"PORTARIA Nº 17831/SIA, 08/09/2025",,,2026-09-08,,Portaria,"DOU 15/09/2025, Seção 1, pág. 79",,,,['portaria']
Inscreve no cadastro o heliponto privado a bordo da unidade SIEM HELIX 2 (9PXL),"PORTARIA Nº 19877/SIA, 25/08/2026",,,2026-08-25,,Portaria,"DOU 28/08/2026, Seção 1, pág. 122",,,,['portaria']
"Altera as Decisões nºs 533, 534 e 535, de 7 de junho de 2022","DECISÃO Nº 752, 24/08/2026",,,2026-08-24,,Decisão,"DOU 25/08/2026, Seção 1, pág. 143",,,,"['alteração', 'decisão']"
"Altera a Portaria  nº 2.893, de 16 de setembro de 2019","PORTARIA Nº 19859, 24/08/2026",,,2026-08-24,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,"['2.893', 'alteração', 'portaria']"
"Altera a Portaria nº 2.892, de 16 de setembro de 2019","PORTARIA Nº 19858, 24/08/2026",,,2026-08-24,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,"['2.892', 'alteração', 'portaria']"
Designa Gestor de Contrato,"PORTARIA Nº 19861/SAF, 24/08/2026",,,2026-08-24,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,['portaria']
"Reajusta os tetos das tarifas aeroportuárias aplicáveis ao Aeroporto de Jericoacoara – Comandante Ariston Pessoa, localizado no Município de Cruz (CE), incluído no Contrato de Concessão de Aeroporto – CCA nº 004/ANAC/2017 – SBFZ, por força do Décimo Primeiro Termo Aditivo, que trata do Programa de Investimentos Privados em Aeroportos Regionais – AmpliAR.","PORTARIA Nº 19866/SRA, 24/08/2026",,,2026-08-24,,Portaria,"DOU 28/08/2026, Seção 2, pág. 125",,,,['portaria']
"Reajusta os tetos das tarifas aeroportuárias aplicáveis ao Contrato de Concessão do Aeroporto Internacional de Fortaleza – Pinto Martins, localizado no Município de Fortaleza (CE)","PORTARIA Nº 19864/SRA, 24/08/2026",,,2026-08-24,,Portaria,"DOU 28/08/2026, Seção 2, pág. 122 e 123",,,,['portaria']
"Reajusta os tetos das tarifas aeroportuárias aplicáveis ao Contrato de Concessão do Aeroporto Internacional de Porto Alegre – Salgado Filho, localizado no Município de Porto Alegre (RS).","PORTARIA Nº 19865/SRA, 24/08/2026",,,2026-08-24,,Portaria,"DOU 28/08/2026, Seção 2, pág. 123 a 125",,,,['portaria']
Aprova manuais de procedimento da SAG,"PORTARIA Nº 19856/SAG,  22/08/2026",,,2026-08-22,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2026/portaria-19856/@@display-file/anexo_norma/Anexo.zip,"['aprovação', 'portaria']"
Aeronavegabilidade continuada e melhorias na segurança para aviões categoria transporte.,RBAC 26 EMD 07,,,2026-08-21,,RBAC,21/08/2026,,,,['rbac']
Inscreve o Aeródromo de uso privativo CIAD MT1197 no cadastro de aeródromos,"PORTARIA Nº 19846/SIA, 20/08/2026",,,2026-08-20,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
