"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Resolução"	"Resolução nº 001 de 18/04/2006"	"DOU Nº 76, S/1, p. 11-16, 20/04/2006"	"Aprova o Regimento Interno da Agência Nacional de Aviação Civil – ANAC."	"38825"	""	"Resolução Nº 48, de 20/08/2008"	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2006/resolucao-no-001-de-18-04-2006@@download/arquivo_norma/RA2006-001.pdf"
"Resolução"	"Resolução nº 005 de 13/12/2006"	"DOU Nº 239, S/1, p.36, 14/12/2006"	"Altera a seção 61.45 do RBHA 61 e aprova novo texto para o Regulamento Brasileiro de Homologação Aeronáutica Nº 61 “Requisitos para Concessão de Licenças de Pilotos e de Instrutores de Vôo”, com as alterações advindas da criação da ANAC."	"39064"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2006/resolucao-no-005-de-13-12-2006@@download/arquivo_norma/resolucao5.pdf"
"Resolução"	"Resolução nº 004 de 08/12/2006"	"DOU Nº 236, S/1, p.14, 11/12/2006"	"Aprova novo Regulamento Brasileiro de Homologação Aeronáutica Nº 45 “Marcas de Identificação, de Nacionalidade e de Matrícula”, com as alterações advindas da criação da ANAC."	"39059"	""	"Resolução Nº 145, de 17 de março de 2010"	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2006/resolucao-no-004-de-08-12-2006@@download/arquivo_norma/resolucao04.pdf"
"Resolução"	"Resolução nº 003 de 01/11/2006"	"DOU Nº 211, s/1, p.09, 03/11/2006"	"Prorroga, em caráter excepcional, por prazo determinado, o horário de funcionamento do Aeroporto Internacional de Congonhas (São Paulo)."	"39022"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2006/resolucao-no-003-de-01-11-2006@@download/arquivo_norma/resolucao03.pdf"
"Resolução"	"Resolução nº 002 de 03/07/2006"	"DOU Nº 128, S/1, p. 40-42, 06/07/2006"	"Aprova o Regulamento sobre a Alocação de Horários de Chegadas e Partidas de Aeronaves em Linhas Aéreas Domésticas de Transporte Regular de Passageiros, nos aeroportos que menciona e dá outras providências."	"38901"	""	"Resolução Nº 338, de 22 de julho de 2014"	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2006/resolucao-no-002-de-03-07-2006@@download/arquivo_norma/resolucao2.pdf"
"Resolução"	"Resolução nº 011 de 10/07/2007"	"DOU Nº 132, S/1, p. 13, 11/07/2007"	"Aprova a instalação do Conselho Consultivo da Agência Nacional de Aviação Civil e dá outras providências."	"39273"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2007/resolucao-no-011-de-10-07-2007@@download/arquivo_norma/resolucao11.pdf"
"Resolução"	"Resolução nº 009 de 05/06/2007"	"DOU Nº 113, S/1, p.18, 14/06/2007"	"Aprova a Norma Operacional de Aviação Civil – Noac que dispõe sobre o acesso ao transporte aéreo de passageiros que necessitam de assistência especial."	"39238"	""	"Resolução Nº 280, de 11/07/2013, a partir de 14/01/2014"	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2007/resolucao-no-009-de-05-06-2007@@download/arquivo_norma/resolucao09.pdf"
"Resolução"	"Resolução nº 014 de 31/08/2007"	"DOU Nº 170, S/1, p.14 de 03/09/2007 (Republicada no DOU Nº 173, S/1, p.20, de 06/09/2007 por conter erro no original)"	"Acrescenta o artigo 4º-B ao Regimento Interno da ANAC (Anexo da Resolução Nº 1, de 18 de abril de 2006), que atribui ao diretor-Presidente competência para proferir decisão “ ad referendum ” da Diretoria. "	"39325"	""	"Resolução Nº 48, de 20/08/2008"	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2007/resolucao-no-014-de-31-08-2007@@download/arquivo_norma/resolucao014ANAC.pdf"
"Resolução"	"Resolução nº 013 de 23/08/2007"	"DOU Nº 165, S/1, p.9-12, de 27/08/2007"	"Dispõe sobre o processo administrativo para a apuração de infrações e aplicação de penalidades, no âmbito da competência da Agência Nacional de Aviação Civil - ANAC."	"39317"	""	"Resolução Nº 25, de 25/04/2008"	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2007/resolucao-no-013-de-23-08-2007@@download/arquivo_norma/Resolucao013ANAC.pdf"
"Resolução"	"Resolução nº 012 de 31/07/2007"	"DOU Nº 147, s/1, p. 12, de 01/08/2007"	"Acrescenta o artigo 9º-A ao Regimento Interno da ANAC (Anexo da Resolução Nº 1, de 18 de abril de 2006), que dispõe sobre a distribuição das áreas de atuação de cada um dos Membros da Diretoria."	"39294"	""	"Resolução Nº 48, de 20/08/2008"	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/resolucoes/resolucoes-2007/resolucao-no-012-de-31-07-2007@@download/arquivo_norma/resolucao012ANAC.pdf"
