"type designator","manufacturer","model","description","engine count","engine type","wtc"
"A342","AIRBUS","A-340-200","Landplane","4","Jet","H"
"A30B","AIRBUS","A-300C4-200","Landplane","2","Jet","H"
"A306","AIRBUS","A-300C4-600","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300F4-200","Landplane","2","Jet","H"
"A306","AIRBUS","A-300F4-600","Landplane","2","Jet","H"
"A3ST","AIRBUS","A-300ST Beluga","Landplane","2","Jet","H"
"A3ST","AIRBUS","A-300ST Super Transporter","Landplane","2","Jet","H"
"A310","AIRBUS","A-310","Landplane","2","Jet","H"
"A306","AIRBUS","A-300B4-600","Landplane","2","Jet","H"
"A333","AIRBUS","A-330-300","Landplane","2","Jet","H"
"A310","AIRBUS","CC-150 Polaris","Landplane","2","Jet","H"
"A343","AIRBUS","A-340-300","Landplane","4","Jet","H"
"A345","AIRBUS","A-340-500","Landplane","4","Jet","H"
"A346","AIRBUS","A-340-600","Landplane","4","Jet","H"
"A388","AIRBUS","A-380-800","Landplane","4","Jet","H"
"A3ST","AIRBUS","Beluga","Landplane","2","Jet","H"
"A310","AIRBUS","Polaris","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B2","Landplane","2","Jet","H"
"A388","AIRBUS","Prestige (A-380-800)","Landplane","4","Jet","H"
"A332","AIRBUS","A-330-200","Landplane","2","Jet","H"
"A388","AIRBUS","A-380-800 Prestige","Landplane","4","Jet","H"
"A30B","AIRBUS","A-300B4-200","Landplane","2","Jet","H"
"A345","AIRBUS","Prestige (A-340-500)","Landplane","4","Jet","H"
"A343","AIRBUS","Prestige (A-340-300)","Landplane","4","Jet","H"
"A346","AIRBUS","Prestige (A-340-600)","Landplane","4","Jet","H"
"A3ST","AIRBUS","Super Transporter","Landplane","2","Jet","H"
"A332","AIRBUS","Prestige (A-330-200)","Landplane","2","Jet","H"
"A346","AIRBUS","A-340-600 Prestige","Landplane","4","Jet","H"
"A345","AIRBUS","A-340-500 Prestige","Landplane","4","Jet","H"
"A343","AIRBUS","A-340-300 Prestige","Landplane","4","Jet","H"
"A30B","AIRBUS","A-300B4-2","Landplane","2","Jet","H"
"A332","AIRBUS","A-330-200 Prestige","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B2-1","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B4-100","Landplane","2","Jet","H"
"A400","AIRBUS","A-400M","Landplane","4","Turboprop","H"
"A30B","AIRBUS","A-300B2-100","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B2-200","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B2K-3","Landplane","2","Jet","H"
"A342","AIRBUS","A-340-200 Prestige","Landplane","4","Jet","H"
"A342","AIRBUS","Prestige (A-340-200)","Landplane","4","Jet","H"
"A124","ANTONOV","Ruslan","Landplane","4","Jet","H"
"A225","ANTONOV","Mriya","Landplane","6","Jet","H"
"AN22","ANTONOV","Antheus","Landplane","4","Turboprop","H"
"A225","ANTONOV","An-225 Mriya","Landplane","6","Jet","H"
"AN22","ANTONOV","An-22 Antheus","Landplane","4","Turboprop","H"
"A124","ANTONOV","An-124 Ruslan","Landplane","4","Jet","H"
"VC10","BAC","VC-10","Landplane","4","Jet","H"
"A50","BERIEV","A-50","Landplane","4","Jet","H"
"A50","BERIEV","Be-976","Landplane","4","Jet","H"
"E3CF","BOEING","E-3D Sentry","Landplane","4","Jet","H"
"C135","BOEING","C-135E Stratolifter","Landplane","4","Jet","H"
"K35R","BOEING","C-135FR Stratotanker","Landplane","4","Jet","H"
"C135","BOEING","C-135K Stratolifter","Landplane","4","Jet","H"
"B703","BOEING","C-137","Landplane","4","Jet","H"
"BLCF","BOEING","Dreamlifter","Landplane","4","Jet","H"
"B783","BOEING","Dreamliner (Srs.3)","Landplane","2","Jet","H"
"B788","BOEING","Dreamliner (Srs.8)","Landplane","2","Jet","H"
"B789","BOEING","Dreamliner (Srs.9)","Landplane","2","Jet","H"
"E3CF","BOEING","E-3A (CFM56) Sentry","Landplane","4","Jet","H"
"E3TF","BOEING","E-3A (TF33) Sentry","Landplane","4","Jet","H"
"E3TF","BOEING","JE-3 Sentry","Landplane","4","Jet","H"
"E3TF","BOEING","E-3C Sentry","Landplane","4","Jet","H"
"E3CF","BOEING","E-3F Sentry","Landplane","4","Jet","H"
"B742","BOEING","E-4","Landplane","4","Jet","H"
"E6","BOEING","E-6 Mercury","Landplane","4","Jet","H"
"B703","BOEING","E-8 J-Stars","Landplane","4","Jet","H"
"E767","BOEING","E-767","Landplane","2","Jet","H"
"B741","BOEING","747-100","Landplane","4","Jet","H"
"B703","BOEING","EC-18","Landplane","4","Jet","H"
"C135","BOEING","C-135C Stratolifter","Landplane","4","Jet","H"
"C135","BOEING","EC-135","Landplane","4","Jet","H"
"B703","BOEING","EC-137","Landplane","4","Jet","H"
"C17","BOEING","Globemaster 3","Landplane","4","Jet","H"
"E3TF","BOEING","E-3B Sentry","Landplane","4","Jet","H"
"B772","BOEING","777-200","Landplane","2","Jet","H"
"B703","BOEING","707-300","Landplane","4","Jet","H"
"MD11","BOEING","MD-11","Landplane","3","Jet","H"
"B742","BOEING","747-200","Landplane","4","Jet","H"
"B703","BOEING","J-Stars","Landplane","4","Jet","H"
"B74D","BOEING","747-400 (domestic, no winglets)","Landplane","4","Jet","H"
"B744","BOEING","747-400 (international, winglets)","Landplane","4","Jet","H"
"BLCF","BOEING","747-400LCF Dreamlifter","Landplane","4","Jet","H"
"BSCA","BOEING","747SCA Shuttle Carrier","Landplane","4","Jet","H"
"B74S","BOEING","747SP","Landplane","4","Jet","H"
"B74R","BOEING","747SR","Landplane","4","Jet","H"
"B762","BOEING","767-200","Landplane","2","Jet","H"
"B743","BOEING","747-300","Landplane","4","Jet","H"
"B764","BOEING","767-400","Landplane","2","Jet","H"
"C135","BOEING","C-135B Stratolifter","Landplane","4","Jet","H"
"B772","BOEING","777-200ER","Landplane","2","Jet","H"
"B77L","BOEING","777-200LR","Landplane","2","Jet","H"
"B773","BOEING","777-300","Landplane","2","Jet","H"
"B77W","Boeing","777-300ER","Landplane","2","Jet","H"
"B783","BOEING","787-3 Dreamliner","Landplane","2","Jet","H"
"B788","BOEING","787-8 Dreamliner","Landplane","2","Jet","H"
"B789","BOEING","787-9 Dreamliner","Landplane","2","Jet","H"
"B77L","BOEING","777-F","Landplane","2","Jet","H"
"B52","BOEING","B-52 Stratofortress","Landplane","8","Jet","H"
"C17","BOEING","C-17 Globemaster 3","Landplane","4","Jet","H"
"B703","BOEING","C-18","Landplane","4","Jet","H"
"B763","BOEING","767-300","Landplane","2","Jet","H"
"E3TF","BOEING","Sentry (TF33)","Landplane","4","Jet","H"
"K35E","BOEING","KC-135D Stratotanker","Landplane","4","Jet","H"
"B748","BOEING","747-8","Landplane","4","Jet","H"
"KE3","BOEING","KE-3","Landplane","4","Jet","H"
"B744","BOEING","YAL-1","Landplane","4","Jet","H"
"C17","BOEING","CC-177 Globemaster III","Landplane","4","Jet","H"
"C135","BOEING","WC-135","Landplane","4","Jet","H"
